Date,Hour,rec_cost
2017-01-01,0,1.3683605640144325
2017-01-01,1,1.7877557163725468
2017-01-01,2,-3.2012304661244366
2017-01-01,3,-11.879140258111207
2017-01-01,4,-0.050818462428618094
2017-01-01,5,-0.49038460034080855
2017-01-01,6,2.854880459350798
2017-01-01,7,-0.25450541240524016
2017-01-01,8,1.3568634621589057
2017-01-01,9,0.4612562490249177
2017-01-01,10,-1.9901621638340727
2017-01-01,11,0.9690458000580553
2017-01-01,12,0.5537208313326829
2017-01-01,13,-0.11158516297869286
2017-01-01,14,-0.45456054527048617
2017-01-01,15,-0.44858090505490245
2017-01-01,16,0.10229283473834734
2017-01-01,17,0.5930922481961043
2017-01-01,18,0.6621506178171659
2017-01-01,19,0.8928766221979081
2017-01-01,20,0.6740757306501406
2017-01-01,21,0.9744585854561656
2017-01-01,22,0.4807821327360271
2017-01-01,23,0.23752567491832327
2017-01-02,0,2.0155840696673257
2017-01-02,1,0.4629858939149927
2017-01-02,2,2.251389371489891
2017-01-02,3,-1.962838911918384
2017-01-02,4,4.790647130504028
2017-01-02,5,0.8122934205975353
2017-01-02,6,0.2969464056444244
2017-01-02,7,1.4091389707915223
2017-01-02,8,0.3832278002481465
2017-01-02,9,1.0693423395289203
2017-01-02,10,1.3602399943563115
2017-01-02,11,-0.061530281934787295
2017-01-02,12,0.5891795811595194
2017-01-02,13,-1.0756349054624113
2017-01-02,14,0.3015893733236707
2017-01-02,15,-0.3647752754818367
2017-01-02,16,-0.4805267929382454
2017-01-02,17,0.14668570927046576
2017-01-02,18,0.42740124326128787
2017-01-02,19,0.9253856751386799
2017-01-02,20,-0.03458135389546291
2017-01-02,21,0.2241731074143074
2017-01-02,22,0.22491712155766208
2017-01-02,23,0.5654163923245605
2017-01-03,0,0.7920693207116696
2017-01-03,1,3.6560862901746125
2017-01-03,2,1.7280188141921289
2017-01-03,3,0.37680975515555026
2017-01-03,4,-4.389141342371273
2017-01-03,5,2.513086124364584
2017-01-03,6,2.68109747721655
2017-01-03,7,2.1469872795426923
2017-01-03,8,2.0068211761402335
2017-01-03,9,0.3311246844649751
2017-01-03,10,1.9964368952381022
2017-01-03,11,0.9147315273818581
2017-01-03,12,-0.5284962084223213
2017-01-03,13,-0.14048246373218332
2017-01-03,14,0.37395557979544247
